구,동,연령별,시점,계,한국인,등록외국인,
서울시,합계,합계,2025. 1/4,9602826,9335734,267092,
서울시,합계,0~4세,2025. 1/4,205595,201873,3722,
서울시,합계,5~9세,2025. 1/4,280911,275078,5833,
서울시,합계,10~14세,2025. 1/4,356556,351729,4827,
서울시,합계,15~19세,2025. 1/4,379742,371868,7874,
서울시,합계,20~24세,2025. 1/4,570525,523527,46998,
서울시,합계,25~29세,2025. 1/4,819346,774157,45189,
서울시,합계,30~34세,2025. 1/4,825292,798609,26683,
서울시,합계,35~39세,2025. 1/4,670690,646833,23857,
서울시,합계,40~44세,2025. 1/4,721372,701259,20113,
서울시,합계,45~49세,2025. 1/4,694249,677737,16512,
서울시,합계,50~54세,2025. 1/4,788526,771097,17429,
서울시,합계,55~59세,2025. 1/4,733224,713274,19950,
서울시,합계,60~64세,2025. 1/4,703122,688150,14972,
서울시,합계,65~69세,2025. 1/4,640972,633335,7637,
서울시,합계,70~74세,2025. 1/4,455827,452517,3310,
서울시,합계,75~79세,2025. 1/4,342898,341723,1175,
서울시,합계,80~84세,2025. 1/4,237347,236887,460,
서울시,합계,85~89세,2025. 1/4,123393,123091,302,
서울시,합계,90~94세,2025. 1/4,41874,41733,141,
서울시,합계,95~99세,2025. 1/4,9814,9751,63,
서울시,합계,100세 이상,2025. 1/4,1551,1506,45,
종로구,구계,합계,2025. 1/4,149478,138184,11294,
종로구,구계,0~4세,2025. 1/4,2360,2203,157,
종로구,구계,5~9세,2025. 1/4,3392,3152,240,
종로구,구계,10~14세,2025. 1/4,4621,4394,227,
종로구,구계,15~19세,2025. 1/4,5460,5076,384,
종로구,구계,20~24세,2025. 1/4,11712,8508,3204,
종로구,구계,25~29세,2025. 1/4,14921,12277,2644,
종로구,구계,30~34세,2025. 1/4,12330,11326,1004,
종로구,구계,35~39세,2025. 1/4,9152,8377,775,
종로구,구계,40~44세,2025. 1/4,10008,9309,699,
종로구,구계,45~49세,2025. 1/4,9651,9108,543,
종로구,구계,50~54세,2025. 1/4,12206,11743,463,
종로구,구계,55~59세,2025. 1/4,11907,11531,376,
종로구,구계,60~64세,2025. 1/4,11516,11245,271,
종로구,구계,65~69세,2025. 1/4,9892,9720,172,
종로구,구계,70~74세,2025. 1/4,6787,6725,62,
종로구,구계,75~79세,2025. 1/4,5483,5441,42,
종로구,구계,80~84세,2025. 1/4,4331,4316,15,
종로구,구계,85~89세,2025. 1/4,2551,2542,9,
종로구,구계,90~94세,2025. 1/4,937,931,6,
종로구,구계,95~99세,2025. 1/4,218,217,1,
종로구,구계,100세 이상,2025. 1/4,43,43,-,
종로구,사직동,합계,2025. 1/4,9177,8937,240,
종로구,사직동,0~4세,2025. 1/4,155,150,5,
종로구,사직동,5~9세,2025. 1/4,253,245,8,
종로구,사직동,10~14세,2025. 1/4,322,316,6,
종로구,사직동,15~19세,2025. 1/4,312,309,3,
종로구,사직동,20~24세,2025. 1/4,408,400,8,
종로구,사직동,25~29세,2025. 1/4,652,636,16,
종로구,사직동,30~34세,2025. 1/4,831,815,16,
종로구,사직동,35~39세,2025. 1/4,645,614,31,
종로구,사직동,40~44세,2025. 1/4,767,723,44,
종로구,사직동,45~49세,2025. 1/4,691,656,35,
종로구,사직동,50~54세,2025. 1/4,773,751,22,
종로구,사직동,55~59세,2025. 1/4,722,708,14,
종로구,사직동,60~64세,2025. 1/4,681,667,14,
종로구,사직동,65~69세,2025. 1/4,614,602,12,
종로구,사직동,70~74세,2025. 1/4,388,386,2,
종로구,사직동,75~79세,2025. 1/4,337,335,2,
종로구,사직동,80~84세,2025. 1/4,304,304,-,
종로구,사직동,85~89세,2025. 1/4,208,207,1,
종로구,사직동,90~94세,2025. 1/4,82,81,1,
종로구,사직동,95~99세,2025. 1/4,25,25,-,
종로구,사직동,100세 이상,2025. 1/4,7,7,-,
종로구,삼청동,합계,2025. 1/4,2441,2189,252,
종로구,삼청동,0~4세,2025. 1/4,37,32,5,
종로구,삼청동,5~9세,2025. 1/4,66,48,18,
종로구,삼청동,10~14세,2025. 1/4,97,70,27,
종로구,삼청동,15~19세,2025. 1/4,106,84,22,
종로구,삼청동,20~24세,2025. 1/4,83,80,3,
종로구,삼청동,25~29세,2025. 1/4,159,150,9,
종로구,삼청동,30~34세,2025. 1/4,152,141,11,
종로구,삼청동,35~39세,2025. 1/4,162,137,25,
종로구,삼청동,40~44세,2025. 1/4,200,165,35,
종로구,삼청동,45~49세,2025. 1/4,172,135,37,
종로구,삼청동,50~54세,2025. 1/4,188,166,22,
종로구,삼청동,55~59세,2025. 1/4,180,170,10,
종로구,삼청동,60~64세,2025. 1/4,191,184,7,
종로구,삼청동,65~69세,2025. 1/4,195,185,10,
종로구,삼청동,70~74세,2025. 1/4,136,132,4,
종로구,삼청동,75~79세,2025. 1/4,133,128,5,
종로구,삼청동,80~84세,2025. 1/4,97,96,1,
종로구,삼청동,85~89세,2025. 1/4,55,54,1,
종로구,삼청동,90~94세,2025. 1/4,27,27,-,
종로구,삼청동,95~99세,2025. 1/4,5,5,-,
종로구,삼청동,100세 이상,2025. 1/4,-,-,-,
종로구,부암동,합계,2025. 1/4,9282,9016,266,
종로구,부암동,0~4세,2025. 1/4,120,120,-,
종로구,부암동,5~9세,2025. 1/4,234,234,-,
종로구,부암동,10~14세,2025. 1/4,371,371,-,
종로구,부암동,15~19세,2025. 1/4,411,408,3,
종로구,부암동,20~24세,2025. 1/4,519,454,65,
종로구,부암동,25~29세,2025. 1/4,640,571,69,
종로구,부암동,30~34세,2025. 1/4,709,667,42,
종로구,부암동,35~39세,2025. 1/4,556,526,30,
종로구,부암동,40~44세,2025. 1/4,678,659,19,
종로구,부암동,45~49세,2025. 1/4,681,670,11,
종로구,부암동,50~54세,2025. 1/4,837,831,6,
종로구,부암동,55~59세,2025. 1/4,787,778,9,
종로구,부암동,60~64세,2025. 1/4,724,721,3,
종로구,부암동,65~69세,2025. 1/4,667,662,5,
종로구,부암동,70~74세,2025. 1/4,431,428,3,
종로구,부암동,75~79세,2025. 1/4,380,379,1,
종로구,부암동,80~84세,2025. 1/4,265,265,-,
종로구,부암동,85~89세,2025. 1/4,180,180,-,
종로구,부암동,90~94세,2025. 1/4,63,63,-,
종로구,부암동,95~99세,2025. 1/4,26,26,-,
종로구,부암동,100세 이상,2025. 1/4,3,3,-,
종로구,평창동,합계,2025. 1/4,17426,17233,193,
종로구,평창동,0~4세,2025. 1/4,368,367,1,
종로구,평창동,5~9세,2025. 1/4,550,549,1,
종로구,평창동,10~14세,2025. 1/4,756,751,5,
종로구,평창동,15~19세,2025. 1/4,769,768,1,
종로구,평창동,20~24세,2025. 1/4,885,883,2,
종로구,평창동,25~29세,2025. 1/4,1020,1005,15,
종로구,평창동,30~34세,2025. 1/4,1061,1049,12,
종로구,평창동,35~39세,2025. 1/4,1013,979,34,
종로구,평창동,40~44세,2025. 1/4,1260,1235,25,
종로구,평창동,45~49세,2025. 1/4,1192,1170,22,
종로구,평창동,50~54세,2025. 1/4,1549,1534,15,
종로구,평창동,55~59세,2025. 1/4,1568,1550,18,
종로구,평창동,60~64세,2025. 1/4,1541,1525,16,
종로구,평창동,65~69세,2025. 1/4,1314,1303,11,
종로구,평창동,70~74세,2025. 1/4,868,862,6,
종로구,평창동,75~79세,2025. 1/4,664,661,3,
종로구,평창동,80~84세,2025. 1/4,483,481,2,
종로구,평창동,85~89세,2025. 1/4,358,355,3,
종로구,평창동,90~94세,2025. 1/4,163,162,1,
종로구,평창동,95~99세,2025. 1/4,31,31,-,
종로구,평창동,100세 이상,2025. 1/4,13,13,-,
종로구,무악동,합계,2025. 1/4,7857,7829,28,
종로구,무악동,0~4세,2025. 1/4,188,188,-,
종로구,무악동,5~9세,2025. 1/4,297,297,-,
종로구,무악동,10~14세,2025. 1/4,458,458,-,
종로구,무악동,15~19세,2025. 1/4,445,445,-,
종로구,무악동,20~24세,2025. 1/4,426,425,1,
종로구,무악동,25~29세,2025. 1/4,370,370,-,
종로구,무악동,30~34세,2025. 1/4,397,391,6,
종로구,무악동,35~39세,2025. 1/4,430,425,5,
종로구,무악동,40~44세,2025. 1/4,603,600,3,
종로구,무악동,45~49세,2025. 1/4,631,630,1,
종로구,무악동,50~54세,2025. 1/4,823,818,5,
종로구,무악동,55~59세,2025. 1/4,596,594,2,
종로구,무악동,60~64세,2025. 1/4,622,620,2,
종로구,무악동,65~69세,2025. 1/4,508,505,3,
종로구,무악동,70~74세,2025. 1/4,346,346,-,
종로구,무악동,75~79세,2025. 1/4,279,279,-,
종로구,무악동,80~84세,2025. 1/4,241,241,-,
종로구,무악동,85~89세,2025. 1/4,139,139,-,
종로구,무악동,90~94세,2025. 1/4,47,47,-,
종로구,무악동,95~99세,2025. 1/4,9,9,-,
종로구,무악동,100세 이상,2025. 1/4,2,2,-,
종로구,교남동,합계,2025. 1/4,9674,9512,162,
종로구,교남동,0~4세,2025. 1/4,282,277,5,
종로구,교남동,5~9세,2025. 1/4,409,404,5,
종로구,교남동,10~14세,2025. 1/4,361,351,10,
종로구,교남동,15~19세,2025. 1/4,397,390,7,
종로구,교남동,20~24세,2025. 1/4,424,423,1,
종로구,교남동,25~29세,2025. 1/4,642,634,8,
종로구,교남동,30~34세,2025. 1/4,703,691,12,
종로구,교남동,35~39세,2025. 1/4,724,704,20,
종로구,교남동,40~44세,2025. 1/4,863,838,25,
종로구,교남동,45~49세,2025. 1/4,825,802,23,
종로구,교남동,50~54세,2025. 1/4,899,885,14,
종로구,교남동,55~59세,2025. 1/4,759,745,14,
종로구,교남동,60~64세,2025. 1/4,624,618,6,
종로구,교남동,65~69세,2025. 1/4,562,556,6,
종로구,교남동,70~74세,2025. 1/4,417,416,1,
종로구,교남동,75~79세,2025. 1/4,344,341,3,
종로구,교남동,80~84세,2025. 1/4,239,238,1,
종로구,교남동,85~89세,2025. 1/4,146,146,-,
종로구,교남동,90~94세,2025. 1/4,43,43,-,
종로구,교남동,95~99세,2025. 1/4,11,10,1,
종로구,교남동,100세 이상,2025. 1/4,-,-,-,
종로구,가회동,합계,2025. 1/4,3868,3763,105,
종로구,가회동,0~4세,2025. 1/4,58,55,3,
종로구,가회동,5~9세,2025. 1/4,97,93,4,
종로구,가회동,10~14세,2025. 1/4,148,145,3,
종로구,가회동,15~19세,2025. 1/4,162,157,5,
종로구,가회동,20~24세,2025. 1/4,149,148,1,
종로구,가회동,25~29세,2025. 1/4,219,215,4,
종로구,가회동,30~34세,2025. 1/4,289,278,11,
종로구,가회동,35~39세,2025. 1/4,249,235,14,
종로구,가회동,40~44세,2025. 1/4,294,284,10,
종로구,가회동,45~49세,2025. 1/4,322,303,19,
종로구,가회동,50~54세,2025. 1/4,352,340,12,
종로구,가회동,55~59세,2025. 1/4,330,321,9,
종로구,가회동,60~64세,2025. 1/4,297,294,3,
종로구,가회동,65~69세,2025. 1/4,261,257,4,
종로구,가회동,70~74세,2025. 1/4,196,195,1,
종로구,가회동,75~79세,2025. 1/4,177,175,2,
종로구,가회동,80~84세,2025. 1/4,149,149,-,
종로구,가회동,85~89세,2025. 1/4,79,79,-,
종로구,가회동,90~94세,2025. 1/4,31,31,-,
종로구,가회동,95~99세,2025. 1/4,8,8,-,
종로구,가회동,100세 이상,2025. 1/4,1,1,-,
종로구,종로1.2.3.4가동,합계,2025. 1/4,8506,6670,1836,
종로구,종로1.2.3.4가동,0~4세,2025. 1/4,155,69,86,
종로구,종로1.2.3.4가동,5~9세,2025. 1/4,212,75,137,
종로구,종로1.2.3.4가동,10~14세,2025. 1/4,239,105,134,
종로구,종로1.2.3.4가동,15~19세,2025. 1/4,234,113,121,
종로구,종로1.2.3.4가동,20~24세,2025. 1/4,400,284,116,
종로구,종로1.2.3.4가동,25~29세,2025. 1/4,770,647,123,
종로구,종로1.2.3.4가동,30~34세,2025. 1/4,736,604,132,
종로구,종로1.2.3.4가동,35~39세,2025. 1/4,623,423,200,
종로구,종로1.2.3.4가동,40~44세,2025. 1/4,672,428,244,
종로구,종로1.2.3.4가동,45~49세,2025. 1/4,588,393,195,
종로구,종로1.2.3.4가동,50~54세,2025. 1/4,645,498,147,
종로구,종로1.2.3.4가동,55~59세,2025. 1/4,648,560,88,
종로구,종로1.2.3.4가동,60~64세,2025. 1/4,715,649,66,
종로구,종로1.2.3.4가동,65~69세,2025. 1/4,669,640,29,
종로구,종로1.2.3.4가동,70~74세,2025. 1/4,433,427,6,
종로구,종로1.2.3.4가동,75~79세,2025. 1/4,327,322,5,
종로구,종로1.2.3.4가동,80~84세,2025. 1/4,262,257,5,
종로구,종로1.2.3.4가동,85~89세,2025. 1/4,120,119,1,
종로구,종로1.2.3.4가동,90~94세,2025. 1/4,43,42,1,
종로구,종로1.2.3.4가동,95~99세,2025. 1/4,12,12,-,
종로구,종로1.2.3.4가동,100세 이상,2025. 1/4,3,3,-,
종로구,종로5.6가동,합계,2025. 1/4,5770,5284,486,
종로구,종로5.6가동,0~4세,2025. 1/4,46,43,3,
종로구,종로5.6가동,5~9세,2025. 1/4,106,98,8,
종로구,종로5.6가동,10~14세,2025. 1/4,90,85,5,
종로구,종로5.6가동,15~19세,2025. 1/4,120,103,17,
종로구,종로5.6가동,20~24세,2025. 1/4,479,348,131,
종로구,종로5.6가동,25~29세,2025. 1/4,842,713,129,
종로구,종로5.6가동,30~34세,2025. 1/4,691,621,70,
종로구,종로5.6가동,35~39세,2025. 1/4,371,341,30,
종로구,종로5.6가동,40~44세,2025. 1/4,316,293,23,
종로구,종로5.6가동,45~49세,2025. 1/4,289,269,20,
종로구,종로5.6가동,50~54세,2025. 1/4,393,375,18,
종로구,종로5.6가동,55~59세,2025. 1/4,444,431,13,
종로구,종로5.6가동,60~64세,2025. 1/4,466,458,8,
종로구,종로5.6가동,65~69세,2025. 1/4,356,350,6,
종로구,종로5.6가동,70~74세,2025. 1/4,244,241,3,
종로구,종로5.6가동,75~79세,2025. 1/4,224,223,1,
종로구,종로5.6가동,80~84세,2025. 1/4,171,171,-,
종로구,종로5.6가동,85~89세,2025. 1/4,85,85,-,
종로구,종로5.6가동,90~94세,2025. 1/4,29,28,1,
종로구,종로5.6가동,95~99세,2025. 1/4,8,8,-,
종로구,종로5.6가동,100세 이상,2025. 1/4,-,-,-,
종로구,이화동,합계,2025. 1/4,7538,7018,520,
종로구,이화동,0~4세,2025. 1/4,72,67,5,
종로구,이화동,5~9세,2025. 1/4,94,89,5,
종로구,이화동,10~14세,2025. 1/4,138,134,4,
종로구,이화동,15~19세,2025. 1/4,205,193,12,
종로구,이화동,20~24세,2025. 1/4,652,508,144,
종로구,이화동,25~29세,2025. 1/4,1235,1052,183,
종로구,이화동,30~34세,2025. 1/4,836,783,53,
종로구,이화동,35~39세,2025. 1/4,508,460,48,
종로구,이화동,40~44세,2025. 1/4,441,423,18,
종로구,이화동,45~49세,2025. 1/4,378,368,10,
종로구,이화동,50~54세,2025. 1/4,516,506,10,
종로구,이화동,55~59세,2025. 1/4,508,499,9,
종로구,이화동,60~64세,2025. 1/4,535,525,10,
종로구,이화동,65~69세,2025. 1/4,418,415,3,
종로구,이화동,70~74세,2025. 1/4,344,338,6,
종로구,이화동,75~79세,2025. 1/4,255,255,-,
종로구,이화동,80~84세,2025. 1/4,222,222,-,
종로구,이화동,85~89세,2025. 1/4,127,127,-,
종로구,이화동,90~94세,2025. 1/4,44,44,-,
종로구,이화동,95~99세,2025. 1/4,10,10,-,
종로구,이화동,100세 이상,2025. 1/4,-,-,-,
종로구,창신1동,합계,2025. 1/4,5440,4488,952,
종로구,창신1동,0~4세,2025. 1/4,63,58,5,
종로구,창신1동,5~9세,2025. 1/4,58,43,15,
종로구,창신1동,10~14세,2025. 1/4,75,70,5,
종로구,창신1동,15~19세,2025. 1/4,100,82,18,
종로구,창신1동,20~24세,2025. 1/4,499,204,295,
종로구,창신1동,25~29세,2025. 1/4,571,349,222,
종로구,창신1동,30~34세,2025. 1/4,453,365,88,
종로구,창신1동,35~39세,2025. 1/4,292,235,57,
종로구,창신1동,40~44세,2025. 1/4,274,224,50,
종로구,창신1동,45~49세,2025. 1/4,267,228,39,
종로구,창신1동,50~54세,2025. 1/4,377,337,40,
종로구,창신1동,55~59세,2025. 1/4,500,444,56,
종로구,창신1동,60~64세,2025. 1/4,573,535,38,
종로구,창신1동,65~69세,2025. 1/4,512,496,16,
종로구,창신1동,70~74세,2025. 1/4,311,305,6,
종로구,창신1동,75~79세,2025. 1/4,226,225,1,
종로구,창신1동,80~84세,2025. 1/4,156,156,-,
종로구,창신1동,85~89세,2025. 1/4,102,102,-,
종로구,창신1동,90~94세,2025. 1/4,29,28,1,
종로구,창신1동,95~99세,2025. 1/4,2,2,-,
종로구,창신1동,100세 이상,2025. 1/4,-,-,-,
종로구,창신2동,합계,2025. 1/4,8538,7278,1260,
종로구,창신2동,0~4세,2025. 1/4,89,71,18,
종로구,창신2동,5~9세,2025. 1/4,87,71,16,
종로구,창신2동,10~14세,2025. 1/4,126,120,6,
종로구,창신2동,15~19세,2025. 1/4,193,175,18,
종로구,창신2동,20~24세,2025. 1/4,687,316,371,
종로구,창신2동,25~29세,2025. 1/4,819,521,298,
종로구,창신2동,30~34세,2025. 1/4,656,526,130,
종로구,창신2동,35~39세,2025. 1/4,456,376,80,
종로구,창신2동,40~44세,2025. 1/4,415,346,69,
종로구,창신2동,45~49세,2025. 1/4,434,387,47,
종로구,창신2동,50~54세,2025. 1/4,766,714,52,
종로구,창신2동,55~59세,2025. 1/4,911,844,67,
종로구,창신2동,60~64세,2025. 1/4,885,848,37,
종로구,창신2동,65~69세,2025. 1/4,729,701,28,
종로구,창신2동,70~74세,2025. 1/4,467,458,9,
종로구,창신2동,75~79세,2025. 1/4,352,344,8,
종로구,창신2동,80~84세,2025. 1/4,278,274,4,
종로구,창신2동,85~89세,2025. 1/4,131,129,2,
종로구,창신2동,90~94세,2025. 1/4,47,47,-,
종로구,창신2동,95~99세,2025. 1/4,10,10,-,
종로구,창신2동,100세 이상,2025. 1/4,-,-,-,
종로구,창신3동,합계,2025. 1/4,6425,6205,220,
종로구,창신3동,0~4세,2025. 1/4,125,123,2,
종로구,창신3동,5~9세,2025. 1/4,146,141,5,
종로구,창신3동,10~14세,2025. 1/4,175,169,6,
종로구,창신3동,15~19세,2025. 1/4,229,224,5,
종로구,창신3동,20~24세,2025. 1/4,370,301,69,
종로구,창신3동,25~29세,2025. 1/4,479,435,44,
종로구,창신3동,30~34세,2025. 1/4,526,505,21,
종로구,창신3동,35~39세,2025. 1/4,423,407,16,
종로구,창신3동,40~44세,2025. 1/4,413,397,16,
종로구,창신3동,45~49세,2025. 1/4,389,376,13,
종로구,창신3동,50~54세,2025. 1/4,530,520,10,
종로구,창신3동,55~59세,2025. 1/4,606,601,5,
종로구,창신3동,60~64세,2025. 1/4,598,595,3,
종로구,창신3동,65~69세,2025. 1/4,511,510,1,
종로구,창신3동,70~74세,2025. 1/4,327,325,2,
종로구,창신3동,75~79세,2025. 1/4,235,234,1,
종로구,창신3동,80~84세,2025. 1/4,196,196,-,
종로구,창신3동,85~89세,2025. 1/4,97,96,1,
종로구,창신3동,90~94세,2025. 1/4,38,38,-,
종로구,창신3동,95~99세,2025. 1/4,11,11,-,
종로구,창신3동,100세 이상,2025. 1/4,1,1,-,
종로구,숭인1동,합계,2025. 1/4,6090,5738,352,
종로구,숭인1동,0~4세,2025. 1/4,81,76,5,
종로구,숭인1동,5~9세,2025. 1/4,93,88,5,
종로구,숭인1동,10~14세,2025. 1/4,159,155,4,
종로구,숭인1동,15~19세,2025. 1/4,176,171,5,
종로구,숭인1동,20~24세,2025. 1/4,340,274,66,
종로구,숭인1동,25~29세,2025. 1/4,493,425,68,
종로구,숭인1동,30~34세,2025. 1/4,487,449,38,
종로구,숭인1동,35~39세,2025. 1/4,393,357,36,
종로구,숭인1동,40~44세,2025. 1/4,413,386,27,
종로구,숭인1동,45~49세,2025. 1/4,404,387,17,
종로구,숭인1동,50~54세,2025. 1/4,571,539,32,
종로구,숭인1동,55~59세,2025. 1/4,538,515,23,
종로구,숭인1동,60~64세,2025. 1/4,567,553,14,
종로구,숭인1동,65~69세,2025. 1/4,461,454,7,
종로구,숭인1동,70~74세,2025. 1/4,319,316,3,
종로구,숭인1동,75~79세,2025. 1/4,251,249,2,
종로구,숭인1동,80~84세,2025. 1/4,191,191,-,
종로구,숭인1동,85~89세,2025. 1/4,106,106,-,
종로구,숭인1동,90~94세,2025. 1/4,35,35,-,
종로구,숭인1동,95~99세,2025. 1/4,10,10,-,
종로구,숭인1동,100세 이상,2025. 1/4,2,2,-,
종로구,숭인2동,합계,2025. 1/4,11239,10166,1073,
종로구,숭인2동,0~4세,2025. 1/4,105,103,2,
종로구,숭인2동,5~9세,2025. 1/4,94,91,3,
종로구,숭인2동,10~14세,2025. 1/4,122,121,1,
종로구,숭인2동,15~19세,2025. 1/4,192,159,33,
종로구,숭인2동,20~24세,2025. 1/4,1131,799,332,
종로구,숭인2동,25~29세,2025. 1/4,2029,1657,372,
종로구,숭인2동,30~34세,2025. 1/4,1506,1390,116,
종로구,숭인2동,35~39세,2025. 1/4,751,693,58,
종로구,숭인2동,40~44세,2025. 1/4,575,540,35,
종로구,숭인2동,45~49세,2025. 1/4,534,518,16,
종로구,숭인2동,50~54세,2025. 1/4,725,695,30,
종로구,숭인2동,55~59세,2025. 1/4,832,806,26,
종로구,숭인2동,60~64세,2025. 1/4,773,748,25,
종로구,숭인2동,65~69세,2025. 1/4,676,659,17,
종로구,숭인2동,70~74세,2025. 1/4,467,463,4,
종로구,숭인2동,75~79세,2025. 1/4,332,329,3,
종로구,숭인2동,80~84세,2025. 1/4,235,235,-,
종로구,숭인2동,85~89세,2025. 1/4,119,119,-,
종로구,숭인2동,90~94세,2025. 1/4,35,35,-,
종로구,숭인2동,95~99세,2025. 1/4,6,6,-,
종로구,숭인2동,100세 이상,2025. 1/4,-,-,-,
종로구,청운효자동,합계,2025. 1/4,11111,10986,125,
종로구,청운효자동,0~4세,2025. 1/4,222,219,3,
종로구,청운효자동,5~9세,2025. 1/4,316,314,2,
종로구,청운효자동,10~14세,2025. 1/4,493,488,5,
종로구,청운효자동,15~19세,2025. 1/4,536,533,3,
종로구,청운효자동,20~24세,2025. 1/4,550,544,6,
종로구,청운효자동,25~29세,2025. 1/4,761,749,12,
종로구,청운효자동,30~34세,2025. 1/4,839,826,13,
종로구,청운효자동,35~39세,2025. 1/4,687,674,13,
종로구,청운효자동,40~44세,2025. 1/4,868,855,13,
종로구,청운효자동,45~49세,2025. 1/4,923,903,20,
종로구,청운효자동,50~54세,2025. 1/4,1007,1000,7,
종로구,청운효자동,55~59세,2025. 1/4,901,896,5,
종로구,청운효자동,60~64세,2025. 1/4,743,735,8,
종로구,청운효자동,65~69세,2025. 1/4,673,667,6,
종로구,청운효자동,70~74세,2025. 1/4,500,496,4,
종로구,청운효자동,75~79세,2025. 1/4,426,423,3,
종로구,청운효자동,80~84세,2025. 1/4,349,347,2,
종로구,청운효자동,85~89세,2025. 1/4,217,217,-,
종로구,청운효자동,90~94세,2025. 1/4,81,81,-,
종로구,청운효자동,95~99세,2025. 1/4,15,15,-,
종로구,청운효자동,100세 이상,2025. 1/4,4,4,-,
종로구,혜화동,합계,2025. 1/4,19096,15872,3224,
종로구,혜화동,0~4세,2025. 1/4,194,185,9,
종로구,혜화동,5~9세,2025. 1/4,280,272,8,
종로구,혜화동,10~14세,2025. 1/4,491,485,6,
종로구,혜화동,15~19세,2025. 1/4,873,762,111,
종로구,혜화동,20~24세,2025. 1/4,3710,2117,1593,
종로구,혜화동,25~29세,2025. 1/4,3220,2148,1072,
종로구,혜화동,30~34세,2025. 1/4,1458,1225,233,
종로구,혜화동,35~39세,2025. 1/4,869,791,78,
종로구,혜화동,40~44세,2025. 1/4,956,913,43,
종로구,혜화동,45~49세,2025. 1/4,931,913,18,
종로구,혜화동,50~54세,2025. 1/4,1255,1234,21,
종로구,혜화동,55~59세,2025. 1/4,1077,1069,8,
종로구,혜화동,60~64세,2025. 1/4,981,970,11,
종로구,혜화동,65~69세,2025. 1/4,766,758,8,
종로구,혜화동,70~74세,2025. 1/4,593,591,2,
종로구,혜화동,75~79세,2025. 1/4,541,539,2,
종로구,혜화동,80~84세,2025. 1/4,493,493,-,
종로구,혜화동,85~89세,2025. 1/4,282,282,-,
종로구,혜화동,90~94세,2025. 1/4,100,99,1,
종로구,혜화동,95~99세,2025. 1/4,19,19,-,
종로구,혜화동,100세 이상,2025. 1/4,7,7,-,
중구,구계,합계,2025. 1/4,130418,119850,10568,
중구,구계,0~4세,2025. 1/4,2681,2512,169,
중구,구계,5~9세,2025. 1/4,2962,2672,290,
중구,구계,10~14세,2025. 1/4,3024,2747,277,
중구,구계,15~19세,2025. 1/4,3532,3162,370,
중구,구계,20~24세,2025. 1/4,7926,6202,1724,
중구,구계,25~29세,2025. 1/4,12263,10313,1950,
중구,구계,30~34세,2025. 1/4,12982,11892,1090,
중구,구계,35~39세,2025. 1/4,10524,9511,1013,
중구,구계,40~44세,2025. 1/4,9541,8751,790,
중구,구계,45~49세,2025. 1/4,8232,7538,694,
중구,구계,50~54세,2025. 1/4,9742,9079,663,
중구,구계,55~59세,2025. 1/4,9948,9323,625,
중구,구계,60~64세,2025. 1/4,9913,9481,432,
중구,구계,65~69세,2025. 1/4,8983,8739,244,
중구,구계,70~74세,2025. 1/4,6385,6261,124,
중구,구계,75~79세,2025. 1/4,4913,4859,54,
중구,구계,80~84세,2025. 1/4,3785,3755,30,
중구,구계,85~89세,2025. 1/4,2096,2079,17,
중구,구계,90~94세,2025. 1/4,764,756,8,
중구,구계,95~99세,2025. 1/4,199,197,2,
중구,구계,100세 이상,2025. 1/4,23,21,2,
중구,소공동,합계,2025. 1/4,3480,2171,1309,
중구,소공동,0~4세,2025. 1/4,104,62,42,
중구,소공동,5~9세,2025. 1/4,155,78,77,
중구,소공동,10~14세,2025. 1/4,163,74,89,
중구,소공동,15~19세,2025. 1/4,154,65,89,
중구,소공동,20~24세,2025. 1/4,98,63,35,
중구,소공동,25~29세,2025. 1/4,195,142,53,
중구,소공동,30~34세,2025. 1/4,325,216,109,
중구,소공동,35~39세,2025. 1/4,372,224,148,
중구,소공동,40~44세,2025. 1/4,476,311,165,
중구,소공동,45~49세,2025. 1/4,385,228,157,
중구,소공동,50~54세,2025. 1/4,297,164,133,
중구,소공동,55~59세,2025. 1/4,243,147,96,
중구,소공동,60~64세,2025. 1/4,163,106,57,
중구,소공동,65~69세,2025. 1/4,145,111,34,
중구,소공동,70~74세,2025. 1/4,73,65,8,
중구,소공동,75~79세,2025. 1/4,55,49,6,
중구,소공동,80~84세,2025. 1/4,41,35,6,
중구,소공동,85~89세,2025. 1/4,26,23,3,
중구,소공동,90~94세,2025. 1/4,7,6,1,
중구,소공동,95~99세,2025. 1/4,2,2,-,
중구,소공동,100세 이상,2025. 1/4,1,-,1,
중구,회현동,합계,2025. 1/4,4972,4303,669,
중구,회현동,0~4세,2025. 1/4,80,67,13,
중구,회현동,5~9세,2025. 1/4,112,77,35,
중구,회현동,10~14세,2025. 1/4,129,93,36,
중구,회현동,15~19세,2025. 1/4,146,115,31,
중구,회현동,20~24세,2025. 1/4,173,154,19,
중구,회현동,25~29세,2025. 1/4,286,255,31,
중구,회현동,30~34세,2025. 1/4,323,290,33,
중구,회현동,35~39세,2025. 1/4,308,249,59,
중구,회현동,40~44세,2025. 1/4,324,244,80,
중구,회현동,45~49세,2025. 1/4,307,237,70,
중구,회현동,50~54세,2025. 1/4,447,374,73,
중구,회현동,55~59세,2025. 1/4,430,383,47,
중구,회현동,60~64세,2025. 1/4,491,439,52,
중구,회현동,65~69세,2025. 1/4,488,450,38,
중구,회현동,70~74세,2025. 1/4,365,336,29,
