시도명,구명,동명,면적_km2,구성비_percent,행정동_수,법정동_수
서울시,용산구,용문동,0.28,0.05,1.0,2
서울시,용산구,이촌1동,2.86,0.47,1.0,1
서울시,용산구,이촌2동,1.22,0.2,1.0,0
서울시,용산구,이태원1동,0.57,0.09,1.0,1
서울시,용산구,이태원2동,0.86,0.14,1.0,0
서울시,용산구,서빙고동,2.8,0.46,1.0,4
서울시,용산구,보광동,0.71,0.12,1.0,1
서울시,용산구,청파동,0.91,0.15,1.0,4
서울시,용산구,원효로1동,0.59,0.1,1.0,4
서울시,용산구,한강로동,2.9,0.48,1.0,5
서울시,용산구,한남동,3.01,0.5,1.0,1
서울시,성동구,소계,16.82,2.78,17.0,17
서울시,성동구,왕십리2동,0.41,0.07,1.0,1
서울시,성동구,마장동,1.05,0.17,1.0,1
서울시,성동구,사근동,1.1,0.18,1.0,1
서울시,성동구,행당1동,0.59,0.1,1.0,1
서울시,성동구,행당2동,0.42,0.07,1.0,0
서울시,성동구,응봉동,0.57,0.09,1.0,1
서울시,성동구,금호1가동,0.46,0.08,1.0,1
서울시,성동구,금호4가동,0.84,0.14,1.0,1
서울시,성동구,성수1가1동,1.97,0.33,1.0,1
서울시,성동구,성수1가2동,0.89,0.15,1.0,0
서울시,성동구,성수2가1동,1.17,0.19,1.0,1
서울시,성동구,성수2가3동,1.03,0.17,1.0,0
서울시,성동구,송정동,0.75,0.12,1.0,1
서울시,성동구,용답동,2.31,0.38,1.0,1
서울시,성동구,왕십리도선동,0.72,0.12,1.0,3
서울시,성동구,금호2.3가동,0.64,0.11,1.0,2
서울시,성동구,옥수동,1.94,0.32,1.0,1
서울시,광진구,소계,17.06,2.82,15.0,7
서울시,광진구,화양동,1.16,0.19,1.0,1
서울시,광진구,군자동,0.74,0.12,1.0,1
서울시,광진구,중곡1동,0.62,0.1,1.0,1
서울시,광진구,중곡2동,0.55,0.09,1.0,0
서울시,광진구,중곡3동,0.6,0.1,1.0,0
서울시,광진구,중곡4동,2.32,0.38,1.0,0
서울시,광진구,능동,1.1,0.18,1.0,1
서울시,광진구,구의1동,0.56,0.09,1.0,1
서울시,광진구,구의2동,1.39,0.23,1.0,0
서울시,광진구,구의3동,1.02,0.17,1.0,0
서울시,광진구,광장동,2.39,0.39,1.0,1
서울시,광진구,자양1동,0.57,0.09,1.0,1
서울시,광진구,자양2동,1.68,0.28,1.0,0
서울시,광진구,자양3동,1.2,0.2,1.0,0
서울시,광진구,자양4동,1.16,0.19,1.0,0
서울시,동대문구,소계,14.22,2.35,14.0,10
서울시,동대문구,회기동,0.76,0.13,1.0,1
서울시,동대문구,휘경1동,0.63,0.1,1.0,1
서울시,동대문구,휘경2동,1.05,0.17,1.0,0
서울시,동대문구,청량리동,1.2,0.2,1.0,1
서울시,동대문구,용신동,1.61,0.27,1.0,2
서울시,동대문구,제기동,1.18,0.19,1.0,1
서울시,동대문구,전농1동,1.19,0.2,1.0,1
서울시,동대문구,전농2동,0.86,0.14,1.0,0
서울시,동대문구,답십리1동,0.81,0.13,1.0,1
서울시,동대문구,답십리2동,0.85,0.14,1.0,0
서울시,동대문구,장안1동,1.25,0.21,1.0,1
서울시,동대문구,장안2동,1.09,0.18,1.0,0
서울시,동대문구,이문1동,1.04,0.17,1.0,1
서울시,동대문구,이문2동,0.69,0.11,1.0,0
서울시,중랑구,소계,18.5,3.06,16.0,6
서울시,중랑구,면목2동,0.77,0.13,1.0,0
서울시,중랑구,면목4동,0.87,0.14,1.0,0
서울시,중랑구,면목5동,0.7,0.12,1.0,0
서울시,중랑구,면목7동,1.2,0.2,1.0,0
서울시,중랑구,상봉1동,0.88,0.15,1.0,1
서울시,중랑구,상봉2동,0.65,0.11,1.0,0
서울시,중랑구,중화1동,0.64,0.11,1.0,1
서울시,중랑구,중화2동,1.01,0.17,1.0,0
서울시,중랑구,묵1동,1.2,0.2,1.0,1
서울시,중랑구,묵2동,0.67,0.11,1.0,0
서울시,중랑구,망우3동,0.92,0.15,1.0,0
서울시,중랑구,신내1동,2.56,0.42,1.0,1
서울시,중랑구,신내2동,0.93,0.15,1.0,0
서울시,중랑구,면목본동,0.84,0.14,1.0,1
서울시,중랑구,면목3.8동,1.63,0.27,1.0,0
서울시,중랑구,망우본동,3.03,0.5,1.0,1
서울시,성북구,소계,24.58,4.06,20.0,39
서울시,성북구,돈암1동,0.49,0.08,1.0,4
서울시,성북구,돈암2동,0.48,0.08,1.0,6
서울시,성북구,안암동,1.33,0.22,1.0,8
서울시,성북구,보문동,0.56,0.09,1.0,1
서울시,성북구,정릉1동,0.44,0.07,1.0,0
서울시,성북구,정릉2동,1.17,0.19,1.0,5
서울시,성북구,정릉3동,3.71,0.61,1.0,7
